gene,PT_seg01,PT_seg02,PT_seg03,PT_seg04,PT_seg05,PT_seg06,PT_seg07,PT_seg08,PT_seg09,PT_seg10,PT_seg11,PT_seg12,PT_seg13,PT_seg14,PT_seg15,PT_seg16
RP11-206L10.2,0.024887727547891328,0.021258608336787818,0.02138567540697772,0.019372888974170232,0.020388164131438333,0.01831982786044291,0.023032977921526854,0.023902854389329594,0.026203595564557095,0.020165772229499904,0.024015349993755767,0.018561813246271056,0.028603008889942754,0.036465756237097684,0.02435311035390829,0.027724156309576597
LINC01409,0.03841323381199306,0.042856524346885486,0.03910211274773211,0.036368293102084406,0.035202994351288056,0.035658093286817856,0.04370527056017561,0.05123718263330677,0.05930475964910557,0.08285205770440301,0.0856809237177347,0.051077108239600134,0.05782816604546546,0.06216228758443138,0.05543552836945954,0.06184641787039688
RP11-206L10.8,0.002080416477915033,0.0021140319752584575,0.0017791400814147437,0.0022510446812845147,0.002505624482030043,0.002746918316706312,0.002415915800484932,0.0033833920919023267,0.0031250641431770343,0.001293350129278758,0.003917346662887326,0.008776893824741812,0.004989400511963414,0.008857415967729598,0.008062831330962621,0.011840697402268454
LINC01128,0.02809825409572246,0.03332742772728694,0.03526394842155601,0.034028886122294974,0.0353844412080748,0.032510827354785304,0.034533577810585754,0.03669849322867232,0.04435956923763575,0.053820839336154475,0.08044635600872807,0.06660109069785931,0.08163201552156342,0.10715814374677103,0.09778031876984312,0.10307203391992968
RP11-54O7.16,0.01615801831146344,0.013660644688338379,0.019520776431401897,0.024357821292223067,0.022842213817896757,0.019000085783150985,0.01982394844556225,0.024162718605137926,0.02770391253565005,0.01962637135479092,0.011310877525931472,0.013028568246725006,0.022712726777513806,0.021882607936177155,0.030226350703316238,0.023977650497473923
RP11-54O7.1,0.004497635689378956,0.004845042643086674,0.0069680359700927475,0.008566385615103728,0.009615987782489618,0.006526897100668004,0.0068912717491984455,0.009801316862100461,0.009689851195904374,0.007898904600421499,0.00870360069341593,0.003687585513643533,0.005840646921042955,0.008078325446055738,0.007631029740608628,0.009676333482748543
SAMD11,0.0043215187071004735,0.005314523519148423,0.006257481758141766,0.005800142654502869,0.005596509930021507,0.005363928811877427,0.006288532649475239,0.006757231325955206,0.00772359048668833,0.01074680324091204,0.00810990133485594,0.00866052314230088,0.009802687819564204,0.0101929220884561,0.01592017085800059,0.014024993368223602
NOC2L,0.09084059949878875,0.09787792274119254,0.09843358428997516,0.10170133260230099,0.0945578680965232,0.08489160066143804,0.08762290339600641,0.09554161735488069,0.11337923660695633,0.13494080375761835,0.12259654410287633,0.1481273929782697,0.15106381773710917,0.1679752898536776,0.17382793497201465,0.1560309619393224
KLHL17,0.020782721889108034,0.021748292000374862,0.018278111712858005,0.01844145218214058,0.018387248585929297,0.015721558890177276,0.019580402702264042,0.023119100056400898,0.02199228689014938,0.018882133837733198,0.0305742650338403,0.024307875641053547,0.02820614692363123,0.03491051512124609,0.03807358163167582,0.0389758106929804
ISG15,0.005588891292858386,0.004460276864313115,0.0047857596133140095,0.009469377176512733,0.010117208068701504,0.0062694180843942075,0.005001267601116702,0.006565012613834599,0.007291975886172477,0.0030080678752506824,0.003847253176715824,0.009489878725194873,0.011187303408617797,0.014275110405560763,0.015043658951889194,0.0216946327024036
