"","Differentiated-2","Differentiated_1","Intermediate-3","Intermediate-2","Intermediate-1","Neuroendocrine"
"ZN134",0,0,0,0,0,0
"ZN136",0,0,0,0,0,0
"ZN140",0,0,0,0,0,0
"ZN214",0,0,0,0,0,0
"ZN250",0,0,0,0,0,0
"ZN257",0,0,0,0,0,0
"ZN260",0,0,0,0,0,0
"ZN264",0,0,0,0,0,0
"ZN274",0,0,0,0,0,0
"ZN317",0,0,0,0,0,0
"ZN320",0,0,0,0,0,0
"ZN322",0,0,0,0,0,0
"ZN329",0,0,0,0,0,0
"ZN331",0,0,0,0,0,0
"ZN335",0,0,0,0,0,0
"ZN350",0,0,0,0,0,0
"ZN382",0,0,0,0,0,0
"ZN384",0,0,0,0,0,0.0690303783120703
"ZN394",0,0,0,0,0,0
"ZN418",0,0,0,0,0,0
"ZN436",0,0,0,0,0,0
"ZN449",0,0,0,0,0,-0.0589560291535396
"ZN490",0,0,0,0,0,0
"ZN502",0,0,0,0,0,0
"ZN528",0,0,0,0,0,0
"ZN547",0,0,0,0,0,0
"ZN549",0,0,0,0,0,0
"ZN554",0,0,0,0,0,0
"ZN563",0,0,0,0,0,0
"ZN582",0,0,0,0,0,0
"ZN586",0,0,0,0,0,0
"ZN667",0,0,0,0,0,0
"ZN680",0,0,0,0,0,0
"ZN708",0,0,0,0,0,0
"ZN768",0,0,0,0,0,0
"ZN770",0,0,0,0,0,0
"ZN816",0,0,0,0,0,0
"ZNF18",0,0,0,0,0,0
"ZNF41",0,0,0,0,0,0
"ZNF76",0,0,0,0,0,0
"ZNF85",0,0,0,0,0,0
"ZNF8",0,0,0,0,0,0
"ZSC22",0,0,0,0,0,0
"ZSC31",0,0,0,0,0,0
"TFGroup_1",0.122029113124064,0.0839886202916535,0,0,0,0
"TFGroup_2",0,0,0,0,0,0
"TFGroup_3",0,0,0,0,0,0
"TFGroup_4",0,0,0,0,-0.0760876103618085,0
"TFGroup_5",-0.13675756268164,-0.125571935111233,0,-0.0687160775881122,0,0.0730381483315263
"TFGroup_6",0,0,0,0,0,0
"TFGroup_7",0,0,0,0,0,0
"TFGroup_8",-0.0372669784375832,-0.0704458143449951,0,-0.0569923000445762,-0.0547683994481499,0.115046509609691
"TFGroup_9",0,0,0,0,0,0
"TFGroup_10",0,0,0,0,0,0
"TFGroup_11",0.0792330085919672,0,0,0,0,0
