"","PT_seg01","PT_seg02","PT_seg03","PT_seg04","PT_seg05","PT_seg06","PT_seg07","PT_seg08","PT_seg09","PT_seg10","PT_seg11","PT_seg12","PT_seg13","PT_seg14","PT_seg15","PT_seg16"
"ETV5",0,0.0216346686350334,-0.000251036355387741,-0.000415591637844158,0.0121711955531661,-0.00419018210220363,-0.0021055367939822,-0.00541592121655536,0.011232829155631,0.00497590181726511,-0.0112735886920099,0.0219407281727837,0.0267743614614754,0.0275897488380952,0.0241779724736862,0.0129144702676709
"EVI1",0,0.0140262953240103,0.00588899290165445,0.00280936728396827,-0.0317357945469338,-0.0189561435574075,0.0171431276487481,-0.00477906385257207,-0.0181413705693581,-0.00952469677496521,-0.0273495471454234,-0.0140660205330518,-0.0373110615637224,-0.0281801993060407,0.00248102097993764,-0.00698123420498856
"FEV",0,0.00162754872760208,-0.0198004203950596,0.00877339196505238,-0.04091842832718,9.0519956539055e-05,-0.0140030172328021,0.00101889155240529,0.0248539135388262,-0.00457112275975018,0.000990063164976838,0.0301589803884831,0.0064733003960439,-0.00966985792701202,0.0164427412400884,-0.00310960523660017
"FEZF1",0,0.00276145937991422,0.0377132671728471,-0.00484314573371241,-0.00543145902239595,-0.0184516308973806,-0.0271678835068582,-0.0256460109559836,-0.0296952724360595,0.00511233942685391,-0.0263613626814501,-0.05911572206371,-0.0340989124942623,-0.0555456249601282,-0.0302904365980809,-0.0387093474679289
"FLI1",0,0.0031846198899583,-0.0178562820274275,0.00533143381066558,0.0138042780488158,0.0531690552350787,0.0119114266780614,0.0129589826983662,-0.00843109840245879,0.0350725842759806,0.0243749862037513,0.00243713479206666,0.00762035153149201,-0.00215846482009238,0.0132136434664049,-0.0110602918813552
"FOXC1",0,-0.0151258783595911,-0.00228130824127184,0.02380787631219,-0.0238024784841502,0.0198119107912046,-0.008041913959289,0.00303282456405291,0.0611961426650356,0.00362027397991538,0.000983596365382458,0.00153232007001214,-0.00979205364886725,0.0196344823581217,0.0202785226157767,-0.0170958267073657
"FOXH1",0,-0.0261134595485109,-0.00671899610312131,-0.00193615896181068,0.0312917467249084,-0.0165993965139352,-0.0237255164551982,0.0123101676768079,-0.0294634027893396,-0.0118758058660176,-0.0223717083156224,0.0129185894441909,-0.0252722902360587,-0.0013953739172238,-0.0244671975021538,-0.000231875182059863
"FOXI1",0,-0.00743937284185319,-0.0155135257023889,-0.0327165277458069,-0.00757326839719817,0.0268482437582579,-0.0254365796559761,-0.0641088514521183,-0.0289921682944859,-0.0129066480965662,0.0106430687313771,0.0179335678559275,-0.0372208082427904,-0.00725312072284774,-0.00272528362245055,-0.0258849415103377
"FOXJ2",0,0.0139394332612953,0.022237667585751,0.0338092438470825,0.0277579757648806,-0.00725807445282251,0.0234537608863489,0.0192044625203121,-0.00479688639179397,0.0108616766856218,-0.00416344536023316,0.0167450584606747,0.0397483938558204,0.0412495111003067,0.0368448002689357,0.026851109865324
"FOXJ3",0,-0.0140051181431368,0.013729940362732,-0.0126345719699978,-0.0247874912572289,0.00346402145069801,-0.0231051758110638,-0.00974764452349129,-0.00408037754483278,-0.0115948417217712,0.00271789021809192,0.00428722869898645,0.0319189767484058,0.0283707997377984,0.00360407978012299,0.0272437816099125
