"","PT_seg01","PT_seg02","PT_seg03","PT_seg04","PT_seg05","PT_seg06","PT_seg07","PT_seg08","PT_seg09","PT_seg10","PT_seg11","PT_seg12","PT_seg13","PT_seg14","PT_seg15","PT_seg16"
"MEIS2",0,0,0,0,0,0,0,0,0,0,0,-0.0599221988183799,-0.0619930041853463,0,0,-0.0499619553188759
"MTF1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MXI1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MYB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MYCN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MYC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MYF6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0674841116821999
"MZF1",0,0,0,0,0,0,0,-0.0417593588128184,0,0,0,0,0,0,-0.0420276195618197,0
"NF2L1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NFAC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NFAC2",0,0,0,0,0,0,0,0,0,0,0,-0.0572334518010272,-0.0652241895482664,0,0,-0.0712813894401246
"NFAC3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NFAC4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NFIA",0,0,0,0,0,0,-0.0978081780666437,-0.0907541148239679,-0.079275216991441,-0.0525802885215546,-0.0826597384315693,-0.168046511178996,-0.185563059081854,-0.169986424873372,-0.168888005829326,-0.126522846305538
"NFIC",0,0,0,0,0,0,0,-0.04888237673544,-0.051051501806786,0,0,-0.0889896293769792,-0.0670238782710615,-0.0818944661791274,-0.0819923934566281,-0.0658450297133661
"NKX21",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NKX25",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NKX28",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NKX31",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NKX32",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NKX61",0,0,0,0.0559663803886222,0,0,0,0,0,0,-0.0641286726271875,-0.0521827058113783,0,-0.0637237127413685,-0.0465727530457904,0
"NOBOX",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NR1D1",0,0,0,0,0,0,0.0429639480830959,0,0,0,0,0,0,0,0,0
"NR1H3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NR1H4",0,0,0,0,0,0,0,0,0,0,0,0,0.0534175835726442,0,0,0
"NR1I2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NR1I3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NR2C1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NR2C2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NR2E3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NR4A1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NR4A2",0,0,0,0,0,0,0,0,0,0,0,0,0,0.0682119822277732,0,0
"NR5A2",0,0,0,0,0,0,0,0,0,0,0,0,-0.0930086623996194,-0.0827615080428742,0,0
"NR6A1",0,0,0,0,0,0,0,0,0,0.0548529510145082,0,0,0,0,0,0
"NRF1",0,0,0,0,0,0,0,0,0,0,-0.0621096473041912,0,0,0,0,0
"OLIG2",0,0,0,0,0,0,0,0,0,-0.039884337357757,0,-0.0672688059931658,-0.0497862884049772,-0.0435268043491911,0,0
"OSR2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTX2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OVOL1",0,0,0,0,0,0,0,0,0,0,0,0,0.0795930224478115,0,0,0
"OZF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P53",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P63",0,0,0,0,0,0,0,0,0,0,0.0753851522235711,0,0,0.0777960107612135,0,0
"P73",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PAX5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0410049137971364
"PAX6",0,0,0,0,0,0,0,0,0,0,0.0686949378621166,0,0,0,0,0
"PBX1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PBX2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PDX1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PEBB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PIT1",0,0,0,0,0,0,0,0,0,0,0,-0.0546221697333227,0,-0.0486352291188812,0,0
"PO2F1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PO2F2",0,0,0,0,0,0,0,0,0,0,-0.0561488924654527,0,0,0,-0.0603482362743271,0
"PO3F1",0,0,0,0,0,0,0,0,0,0,0,0,-0.0634997811563698,0,0,0
