,names,scores,logfoldchanges,pvals,pvals_adj
865,ZNF726,9.216525,3.421941,3.068851323563981e-20,5.238654766513928e-19
875,GP2,9.158231,1.5727936,5.2755307250044244e-20,8.903884923546978e-19
928,EEIG1,8.880758,1.5911889,6.640609439623834e-19,1.0561983506763406e-17
933,MARVELD3,8.848159,2.2240415,8.897521534636994e-19,1.4089182158245572e-17
973,HGD,8.681232,1.834496,3.915034369348604e-18,5.947470924681058e-17
998,MIR34AHG,8.572869,1.9603382,1.0093781776633984e-17,1.4991104209817079e-16
1052,SHC4,8.381502,2.164672,5.2256321376271406e-17,7.376323066968413e-16
1066,MEIS2,8.351517,3.68166,6.739186489126132e-17,9.40916301956513e-16
1087,RAB17,8.254053,2.3399954,1.531106995720678e-16,2.1017284323048727e-15
1117,STOML3,8.155625,2.564097,3.473777975283028e-16,4.650973929444239e-15
1143,SYK,8.056315,2.7588801,7.862873897650214e-16,1.0289410692760212e-14
1148,RGP1,8.044471,1.5322107,8.661918783397115e-16,1.1285656128752915e-14
1190,LYPD6B,7.8908205,2.2956264,3.0020579586180207e-15,3.792952241941261e-14
1203,TLN1,7.867483,1.6433678,3.618470939571032e-15,4.52712602000306e-14
1215,TRIM56,7.819732,1.6430064,5.293579132272056e-15,6.56791861771044e-14
1239,DNAI1,7.7285414,1.8570392,1.0878577043093983e-14,1.322307254269303e-13
1254,B3GNT3,7.676231,1.9813346,1.6383797147267166e-14,1.9714400041523827e-13
1265,SCNN1A,7.639443,3.395721,2.181639639223118e-14,2.602446593570609e-13
1270,AQP3,7.609979,2.197055,2.7414025797007085e-14,3.2485801639636996e-13
1271,ENSG00000285080,7.6022673,1.7070541,2.9098725564474e-14,3.445942147539459e-13
1308,TMPRSS4,7.479275,5.026258,7.473353224475514e-14,8.594241397555815e-13
1348,SCIN,7.366823,1.9669724,1.747418969479475e-13,1.9496544609099044e-12
1377,ERRFI1,7.2889366,2.0095508,3.124112128772305e-13,3.4155817003232128e-12
1378,ENSG00000259616,7.2825418,3.040277,3.275890512893874e-13,3.5793393234975027e-12
1384,MIR3142HG,7.2658997,2.3527956,3.7056393715080855e-13,4.03415509491666e-12
1401,ENSG00000235056,7.1770062,2.8763423,7.125432963463875e-13,7.650352650957832e-12
1409,PHLDA1,7.144648,2.9201224,9.022686965197658e-13,9.629745796705007e-12
1430,SMIM24,7.1046486,1.8136375,1.2062909078647517e-12,1.2685852976554227e-11
1462,PRRG4,7.03023,2.4020135,2.061930303962776e-12,2.1260397461721932e-11
1472,ENSG00000255367,7.0046897,2.0172553,2.475336047760758e-12,2.534817581785146e-11
1571,ZNF214,6.74454,4.757824,1.5351257863361957e-11,1.4791456354810788e-10
1578,SLC30A4-AS1,6.7171407,2.484757,1.853248314510144e-11,1.778979561831273e-10
1585,EHD4,6.702152,1.6234019,2.05372282293109e-11,1.9630176433780867e-10
1604,HNMT,6.646175,2.5937738,3.0080744369119284e-11,2.8389196987184064e-10
1611,OAS3,6.627425,3.897762,3.4159275989283556e-11,3.212010327692538e-10
1629,RNF207,6.5836096,1.5832236,4.5916244970502835e-11,4.277172123654161e-10
