,1,2,3,4,5,6,7,8,9,10,11,12,13,14
52,KCNJ6,CDCA5,HP1BP3,ERBB4,EPHA4,PCSK2,ARFGEF3,RIN2,TMSB4X,KRT18,SLC12A2,CPED1,COL25A1,AL009181.1
53,GSE1,RRM1,KNL1,GRHL2,NABP1,TMTC2,HS6ST3,LINC01344,COL2A1,ADAM9,CASC15,LINC01933,C4orf51,LINC01482
54,NRXN3,TMPO,CEP70,AGR3,TXNDC16,MT-ND5,AC006974.1,AC007389.1,TPM4,DAPK1,GPC6,AC015845.2,LSM6,LINC01091
55,ESRRG,TYMS,KIFC1,COBLL1,GLS,CSRNP3,PLD1,TCP11L2,PDIA6,SHB,BICC1,DRC1,TMEM192,PTPRM
56,PHACTR1,CENPK,PTTG1,LINC02197,CADM1,GABBR2,DACH1,SLC4A5,C3orf52,DOCK5,RND3,FGF18,SLC9B1,MT-ND5
57,BBOX1-AS1,FANCB,CENPA,CDH7,PHLPP1,CNTN4,SMOC1,BBOX1-AS1,PDE4D,AHR,FIRRE,SEMA4A,ARHGAP10,RSAD2
58,ST18,KIF24,NUCKS1,TNR,MIR7-3HG,TBC1D4,CDHR3,LINC02006,SPRY4-AS1,NPAS2,NCOA7,RGS22,SH3D19,CEP112
59,FGF12,CCDC150,KIF20B,NDNF,NPAS4,ZEB2,LRFN2,LYST,LPP,GRHL2,SIPA1L2,HELLPAR,RNF150,TBX21
60,CMTM8,EZH2,PRC1,KLHL4,FGF18,CADPS,KCNK10,GMDS-DT,CDK6,RPS6,NAALADL2,SIAH2-AS1,CYP4V2,ZNF486
61,BMPR1B,FANCD2,RACGAP1,CDH1,GCNA,IL1RAPL1,RIMBP2,LINC01226,HSP90B1,MAML2,EZR,PYGM,CLCN3,AC055811.1
62,MAML3,KIFC1,CDK1,RPS6,HIST3H2A,CSMD3,VPS13A,CDH12,ADAMTS1,QKI,PAPPA,AL445623.2,DDX60L,INVS
63,INSR,PCNA,HJURP,SCIN,AC025164.1,EPHA3,GRIA4,AC092353.2,PLXDC2,LAMB1,PDP1,MCHR2,FAM160A1,PARD3B
64,AL359704.3,SKA3,NCAPH,AC104041.1,MAP7D2,KCNQ5,COLEC10,AC090125.1,PDLIM5,MUSK,INPP4B,CMYA5,ARFIP1,CHGA
65,PDGFRA,DSCC1,CEP128,MAGI1,BOLA1,CACNB4,PIP5K1B,AC093655.1,COL5A2,IGF2BP2,KRT17,MYRFL,AC004704.1,RFX8
66,NEUROD1,GEN1,TUBB4B,TRPC7,DOCK4,AC079772.1,CBLN2,ATP10B,GHRL,AMOTL2,SGPP2,LINC02680,DDX60,NSD2
67,SMOC2,BRCA2,BUB1B,IGFBP3,MAPRE2,DCX,PDK4,DMGDH,CHN2,PTPRK,CCSER1,AL078604.4,SNX25,AVPR1A
68,MARCH8,NCAPH,CDC25C,RAP1B,ACTN2,CDH22,B3GALT5,CREBRF,ADAMTS6,PERP,CYP1B1,RPL37A,SLC10A7,LARP6
69,NFASC,HIST1H4E,CCNB2,HOXB3,SGK1,RARB,C6orf141,AC091646.1,ATXN1,PTPN14,NTN4,MIR3659HG,SCLT1,HMGCS1
70,NRXN1,VRK1,KIF23,LCN15,BHLHE41,CHN2,SI,AC139887.2,CDCP1,AC104041.1,PRAG1,AC024901.1,WWC2,AC010186.3
71,MLXIPL,RAD54B,CENPI,AC019197.1,NR1D1,MMP26,TENM4,SLC16A12,GRHL2,AC126182.3,TMTC2,POLN,LARP1B,AC004704.1
72,DSP,RAD51AP1,CDC20,SCG3,FOS,LINC01687,AC021683.2,TMEM140,CAPN2,DNAH7,PLCE1,LINC01934,AC109927.1,ADAMTS2
73,TMEM132D,SPC24,BIRC5,GBA2,EPHA7,NRG2,OXTR,CNKSR3,ABCC3,MAGI1,KRT19,LINC02646,AC104819.3,SLC35F4
74,KCNH7,CEP192,SPAG5,C3orf52,TMEFF2,KCNN2,CASZ1,UNC5B,ANXA3,MIR34AHG,TPM1,ADAM32,ANK2,PHLDB3
75,AC005019.2,CHAF1A,ARHGAP11A,LINC02343,RND1,GPC6,HMGCS1,THSD4,LIMS1,TRIM2,KRT15,AL390957.1,NDST4,B3GNT4
76,SATB2,MCM8,RSRC1,KDR,TOP1,IGFBP5,FAM135B,PLA2G4C,LINC00351,HMGA2,SMAD3,IPCEF1,AC099343.4,SFRP4
77,STK33,MYBL2,LINC02456,PARD3B,TRIM36,ROBO1,PLCXD3,VEGFA,SOX6,HOXB6,VAV3,LINC01505,LINC01091,LINC01376
78,HEPACAM2,CIP2A,KIF11,MUC13,ABHD3,CDHR3,PLCG2,KLF6,HOXB9,LSAMP,TACSTD2,PXDNL,AC115622.1,AC073114.1
79,PLXNA2,CENPJ,PIF1,DUSP4,JARID2,LIN7A,BCAR3,NUPR1,EGR1,KRT8,DUSP5,AEBP2,KLHL2,SLC22A15
80,GRIN3A,MASTL,KIF18B,SPRED2,CITED2,AC104041.1,FRY,LINC00511,KCNK1,LAMC2,CDKN2B,ANKRD7,CENPU,HHAT
81,KIAA1324,KNTC1,PLCH1,VPS13A,USP53,KCNE4,EYS,AL139260.1,TCF7L1,RASEF,MAML2,OVCH1,GAB1,BCAS4
82,LRFN2,CDC6,CALM2,ERBB3,CACHD1,PCP4,ANKS1B,PLCL1,FAM189A1,TBC1D8,NEDD4L,AC092353.1,TMEM131L,ZNF705B
83,SLIT1,SKA1,KNSTRN,ATP2A3,CA8,MAP2K6,PCSK1,PKN2-AS1,FRK,ABCC3,CYP4X1,SLC26A7,NAA15,MGAT4C
